0.19890216,0.0854748,0.00165348,103,0
0.08609904,0.03708648,0.0002052,77,1
0.06314256,0.0288936,0.00007128,98,2
0.14362452,0.06102864,0.0011214,84,1
0.0897048,0.03973032,0.00024624,78,1
0.20063988,0.08688852,0.00168156,103,0
0.18542736,0.08237808,0.00155808,99,0
0.197793,0.08540892,0.00166428,102,1
0.14267916,0.0613656,0.00108504,85,1
0.05583996,0.02534328,0.00003276,98,2
0.12810672,0.0557658,0.0008784,81,1
0.13488696,0.05824224,0.00097776,83,1
0.20341368,0.08744076,0.00171648,104,0
0.19591992,0.08655408,0.00163692,102,0
0.06530508,0.02938968,0.00006624,91,2
0.0674748,0.02997684,0.00005796,91,2
0.06983496,0.03003084,0.00007884,93,2
0.18360216,0.0807426,0.00154908,98,0
0.19879992,0.08943048,0.00163548,104,0
0.17403588,0.07596144,0.00144504,95,0
0.05339556,0.02360988,0.00003096,97,1
0.06614424,0.02719476,0.0000864,88,1
0.05019732,0.02377692,0.00003708,101,2
0.16487784,0.07164144,0.0013788,91,1
0.20169756,0.08680032,0.00168624,104,0
0.19954512,0.0872352,0.00167076,103,0
0.06910632,0.02846664,0.00008928,89,1
0.05404032,0.0254682,0.00006444,97,2
0.07567272,0.03299292,0.00012024,88,1
0.15529032,0.06603984,0.0012528,89,0
0.200637,0.08945892,0.00169236,103,0
0.09976968,0.04299696,0.00038808,78,1
0.05261112,0.02549844,0.00005724,104,2
0.06785568,0.03001932,0.00008028,95,1
0.05883732,0.02712852,0.00005436,97,2
0.19284984,0.0849816,0.00162288,100,0
0.1166274,0.05044644,0.00068724,79,0
0.19939284,0.08792028,0.00164196,104,0
0.06880896,0.03040776,0.00008064,92,1
0.05317992,0.02518056,0.00005796,102,2
0.07538076,0.03258,0.0001134,80,1
0.09503424,0.0408942,0.0003294,76,1
0.20269152,0.08941284,0.00170244,104,0
0.19597572,0.08690904,0.0016344,102,0
0.06157332,0.02866104,0.00007488,102,2
0.08536212,0.03679992,0.00019872,87,2
0.07807716,0.03066264,0.00016776,84,1
0.10818252,0.04746816,0.00053532,77,2
0.15120144,0.06661224,0.0012096,88,1
0.201537,0.08914176,0.00168192,104,0
0.171171,0.07379712,0.00146844,92,0
0.08321688,0.03294792,0.00018756,81,1
0.05492484,0.02557728,0.0000558,97,2
0.08150076,0.03582072,0.0001638,79,1
0.19820628,0.0852066,0.0016704,102,0
0.2005686,0.08912376,0.00167616,103,0
0.07132968,0.02744892,0.00011664,84,1
0.0476964,0.0231894,0.0000522,103,2
0.05741676,0.02474064,0.00005508,98,1
0.08689176,0.039681,0.000225,76,1
0.19876356,0.08734968,0.00164556,103,0
0.16196256,0.0703692,0.00135324,90,1
0.05510772,0.02525472,0.00003636,98,2
0.05144436,0.02251692,0.0000468,99,1
0.06244092,0.0294498,0.00008172,98,2
0.17631432,0.0774774,0.0014994,95,0
0.150606,0.065403,0.00118944,87,0
0.2021886,0.08908632,0.00167796,104,0
0.07938936,0.03452184,0.00015336,83,1
0.04731984,0.022743,0.00005148,101,2
0.06706152,0.02925252,0.0000666,88,2
0.08419608,0.03506976,0.00019656,79,1
0.19571544,0.0859158,0.00165024,102,0
0.18161748,0.08132796,0.00156816,96,0
0.06593328,0.03084588,0.00008352,91,2
0.0721926,0.03132144,0.00011052,84,2
0.07704072,0.0314676,0.0001332,83,2
0.0666594,0.03186216,0.00006372,91,2
0.1591146,0.0705942,0.00130068,90,1
0.1991628,0.08880084,0.001665,103,0
0.19775664,0.08768556,0.00166104,102,0
0.06272208,0.02479068,0.00007668,90,1
0.05277996,0.02511324,0.00005904,102,2
